	Ag.Type.1	Ag.Type.2	Ag.Type.3	Ag.Type.4	Paste.내.Ag.함량	Ag.Type.1.1	Ag.Type.2.1	Ag.Type.3.1	Ag.Type.4.1	Resin.A	Resin.B	Resin.C	Resin.D	Resin.E	Paste.내.Resin.함량	첨가제.1	첨가제.2	Solvent.1	Paste.내.Sovent.함량	Viscocity..cp.	R_200.
1	0.6	0.1	0.1	0	0.785	0.471	0.0785	0.0785	0	0.065	0	0	0	0	0.065	0.01	0	0.1	0.14	2644	13.3
2	0.5	0.2	0.1	0	0.745	0.3725	0.149	0.0745	0	0.065	0	0	0	0	0.065	0.01	0	0.14	0.18	2795	8.6
3	0.5	0.2	0.1	0	0.745	0.3725	0.149	0.0745	0	0.065	0	0	0	0	0.065	0.005	0.005	0.14	0.18	2450	7.9
4	0.5	0.2	0.1	0	0.745	0.3725	0.149	0.0745	0	0.05	0.015	0	0	0	0.065	0.005	0.005	0.14	0.18	2329	22.5
5	0.5	0.2	0.1	0	0.75	0.375	0.15	0.075	0	0.04	0	0.02	0	0	0.06	0.005	0.005	0.14	0.18	3518	56.5
6	0.5	0.2	0.1	0	0.752	0.376	0.1504	0.0752	0	0.03	0	0.028	0	0	0.058	0.005	0.005	0.14	0.18	3984	330
8	0.3	0.2	0.1	0.2	0.745	0.2235	0.149	0.0745	0.149	0.065	0	0	0	0	0.065	0.005	0.005	0.14	0.18	2573	1520
9	0.5	0.2	0.1	0	0.77	0.385	0.154	0.077	0	0.02	0.02	0	0	0	0.04	0.005	0.005	0.14	0.18	4622	51.9
10	0.5	0.2	0.1	0	0.75	0.375	0.15	0.075	0	0.03	0	0	0.03	0	0.06	0.005	0.005	0.14	0.18	7505	516
11	0.3	0.2	0.3	0	0.745	0.2235	0.149	0.2235	0	0.065	0	0	0	0	0.065	0	0.01	0.14	0.18	2118	232
12	0.5	0.2	0.1	0	0.755	0.3775	0.151	0.0755	0	0.045	0.01	0	0	0	0.055	0	0.01	0.14	0.18	3339	45.4
13	0.5	0.2	0.1	0	0.753	0.3765	0.1506	0.0753	0	0.045	0	0	0	0.012	0.057	0	0.01	0.14	0.18	3140	75.6
14	0.3	0.2	0.3	0	0.745	0.2235	0.149	0.2235	0	0.065	0	0	0	0	0.065	0	0.01	0.14	0.18	3288	81.4
15	0.3	0.2	0.3	0	0.753	0.2259	0.1506	0.2259	0	0.045	0	0	0	0.012	0.057	0	0.01	0.14	0.18	3167	7.5
